,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,playerid,injury_start_date,injury_end_date
0,0,0,0,456501,2019-02-13T00:00:00,2019-09-10T00:00:00
1,1,1,1,534910,2019-02-13T00:00:00,2019-09-03T00:00:00
2,2,2,2,640455,2019-02-13T00:00:00,2019-09-01T00:00:00
3,3,3,3,608665,2019-02-13T00:00:00,2019-11-04T00:00:00
4,4,4,4,592836,2019-02-13T00:00:00,2019-09-29T00:00:00
5,5,5,5,642759,2019-02-13T00:00:00,2019-10-19T00:00:00
6,6,6,6,605254,2019-02-15T00:00:00,2019-10-31T00:00:00
7,7,7,7,572070,2019-02-17T00:00:00,2019-09-16T00:00:00
8,8,8,8,608718,2019-02-19T00:00:00,2019-09-01T00:00:00
9,9,9,9,659275,2019-02-21T00:00:00,2019-07-04T00:00:00
10,10,10,10,500724,2019-02-23T00:00:00,2019-07-30T00:00:00
11,11,11,11,641771,2019-03-01T00:00:00,2019-11-04T00:00:00
12,12,12,12,620454,2019-03-01T00:00:00,2019-08-08T00:00:00
13,13,13,13,595981,2019-03-03T00:00:00,2019-07-03T00:00:00
14,14,14,14,611093,2019-03-11T00:00:00,2019-11-04T00:00:00
15,15,15,15,521692,2019-03-11T00:00:00,2019-11-04T00:00:00
16,16,16,16,656629,2019-03-11T00:00:00,2019-10-31T00:00:00
17,17,17,17,641871,2019-03-16T00:00:00,2019-08-27T00:00:00
18,18,18,18,542888,2019-03-18T00:00:00,2019-04-12T00:00:00
19,19,19,19,592815,2019-03-18T00:00:00,2019-07-15T00:00:00
20,20,20,20,572122,2019-03-18T00:00:00,2019-05-25T00:00:00
21,21,21,21,639373,2019-03-18T00:00:00,2019-06-23T00:00:00
22,22,22,22,543302,2019-03-19T00:00:00,2019-07-02T00:00:00
23,23,23,23,461872,2019-03-19T00:00:00,2019-04-02T00:00:00
24,24,24,24,605194,2019-03-19T00:00:00,2019-07-29T00:00:00
25,25,25,25,605361,2019-03-19T00:00:00,2019-05-28T00:00:00
26,26,26,26,656756,2019-03-23T00:00:00,2019-09-15T00:00:00
27,27,27,27,605242,2019-03-23T00:00:00,2019-10-31T00:00:00
28,28,28,28,517593,2019-03-24T00:00:00,2019-07-31T00:00:00
29,29,29,29,502171,2019-03-25T00:00:00,2019-04-04T00:00:00
30,30,30,30,576397,2019-03-25T00:00:00,2019-04-05T00:00:00
31,31,31,31,581527,2019-03-25T00:00:00,2019-11-04T00:00:00
32,32,32,32,502381,2019-03-25T00:00:00,2019-05-04T00:00:00
33,33,33,33,446399,2019-03-25T00:00:00,2019-11-01T00:00:00
34,34,34,34,444432,2019-03-25T00:00:00,2019-09-02T00:00:00
35,35,35,35,593372,2019-03-25T00:00:00,2019-05-17T00:00:00
36,36,36,36,642851,2019-03-25T00:00:00,2019-04-17T00:00:00
37,37,37,37,641656,2019-03-26T00:00:00,2019-04-04T00:00:00
38,38,38,38,445055,2019-03-26T00:00:00,2019-06-24T00:00:00
39,39,39,39,592647,2019-03-26T00:00:00,2019-07-23T00:00:00
40,40,40,40,592444,2019-03-26T00:00:00,2019-04-11T00:00:00
41,41,41,41,592665,2019-03-27T00:00:00,2019-05-21T00:00:00
42,42,42,42,606983,2019-03-27T00:00:00,2019-11-04T00:00:00
43,43,43,43,519076,2019-03-27T00:00:00,2019-05-24T00:00:00
44,44,44,44,605135,2019-03-27T00:00:00,2019-04-15T00:00:00
45,45,45,45,435062,2019-03-27T00:00:00,2019-04-04T00:00:00
46,46,46,46,572191,2019-03-27T00:00:00,2019-06-28T00:00:00
47,47,47,47,456665,2019-03-27T00:00:00,2019-04-04T00:00:00
48,48,48,48,593934,2019-03-27T00:00:00,2019-05-15T00:00:00
49,49,49,49,456030,2019-03-27T00:00:00,2019-04-09T00:00:00
50,50,50,50,621068,2019-03-27T00:00:00,2019-06-23T00:00:00
51,51,51,51,592833,2019-03-27T00:00:00,2019-11-04T00:00:00
52,52,52,52,622766,2019-03-27T00:00:00,2019-06-15T00:00:00
53,53,53,53,572403,2019-03-27T00:00:00,2019-04-07T00:00:00
54,54,54,54,664028,2019-03-27T00:00:00,2019-10-30T00:00:00
55,55,55,55,656798,2019-03-27T00:00:00,2019-11-11T00:00:00
56,56,56,56,608349,2019-03-27T00:00:00,2019-11-04T00:00:00
57,57,57,57,622382,2019-03-27T00:00:00,2019-04-24T00:00:00
58,58,58,58,543483,2019-03-27T00:00:00,2019-04-26T00:00:00
59,59,59,59,608671,2019-03-27T00:00:00,2019-07-22T00:00:00
60,60,60,60,622110,2019-03-27T00:00:00,2019-07-23T00:00:00
61,61,61,61,593523,2019-03-27T00:00:00,2019-04-25T00:00:00
62,62,62,62,621566,2019-03-27T00:00:00,2019-05-07T00:00:00
63,63,63,63,571697,2019-03-28T00:00:00,2019-08-27T00:00:00
64,64,64,64,650828,2019-03-28T00:00:00,2019-11-04T00:00:00
65,65,65,65,502026,2019-03-28T00:00:00,2019-04-16T00:00:00
66,66,66,66,493316,2019-03-28T00:00:00,2019-11-04T00:00:00
67,67,67,67,621345,2019-03-28T00:00:00,2019-05-10T00:00:00
68,68,68,68,503285,2019-03-28T00:00:00,2019-09-05T00:00:00
69,69,69,69,488984,2019-03-28T00:00:00,2019-06-28T00:00:00
70,70,70,70,596451,2019-03-28T00:00:00,2019-04-18T00:00:00
71,71,71,71,518633,2019-03-28T00:00:00,2019-04-26T00:00:00
72,72,72,72,543169,2019-03-28T00:00:00,2019-05-25T00:00:00
73,73,73,73,656805,2019-03-28T00:00:00,2019-11-05T00:00:00
74,74,74,74,502082,2019-03-28T00:00:00,2019-10-31T00:00:00
75,75,75,75,553869,2019-03-28T00:00:00,2019-04-21T00:00:00
76,76,76,76,543475,2019-03-28T00:00:00,2019-04-04T00:00:00
77,77,77,77,591741,2019-03-28T00:00:00,2019-05-03T00:00:00
78,78,78,78,570256,2019-03-28T00:00:00,2019-04-22T00:00:00
79,79,79,79,543734,2019-03-28T00:00:00,2019-05-31T00:00:00
80,80,80,80,622608,2019-03-28T00:00:00,2019-07-21T00:00:00
81,81,81,81,621366,2019-03-28T00:00:00,2019-07-22T00:00:00
82,82,82,82,453329,2019-03-28T00:00:00,2019-04-13T00:00:00
83,83,83,83,475479,2019-03-28T00:00:00,2019-06-17T00:00:00
84,84,84,84,572193,2019-03-28T00:00:00,2019-04-18T00:00:00
85,85,85,85,621121,2019-03-28T00:00:00,2019-11-04T00:00:00
86,86,86,86,501925,2019-03-28T00:00:00,2019-07-12T00:00:00
87,87,87,87,641505,2019-03-28T00:00:00,2019-04-24T00:00:00
88,88,88,88,501817,2019-03-28T00:00:00,2019-06-27T00:00:00
89,89,89,89,458584,2019-03-28T00:00:00,2019-05-11T00:00:00
90,90,90,90,453344,2019-03-28T00:00:00,2019-11-04T00:00:00
91,91,91,91,519008,2019-03-28T00:00:00,2019-04-30T00:00:00
92,92,92,92,519306,2019-03-28T00:00:00,2019-11-04T00:00:00
93,93,93,93,607455,2019-03-28T00:00:00,2019-08-23T00:00:00
94,94,94,94,592254,2019-03-28T00:00:00,2019-07-03T00:00:00
95,95,95,95,596019,2019-03-28T00:00:00,2019-04-20T00:00:00
96,96,96,96,608652,2019-03-28T00:00:00,2019-08-23T00:00:00
97,97,97,97,605548,2019-03-28T00:00:00,2019-08-30T00:00:00
98,98,98,98,622795,2019-03-28T00:00:00,2019-08-26T00:00:00
99,99,99,99,543401,2019-03-28T00:00:00,2019-04-15T00:00:00
100,100,100,100,518595,2019-03-28T00:00:00,2019-04-07T00:00:00
101,101,101,101,622098,2019-03-28T00:00:00,2019-11-04T00:00:00
102,102,102,102,621294,2019-03-28T00:00:00,2019-09-10T00:00:00
103,103,103,103,622663,2019-03-28T00:00:00,2019-09-17T00:00:00
104,104,104,104,607468,2019-03-28T00:00:00,2019-06-14T00:00:00
105,105,105,105,592332,2019-03-28T00:00:00,2019-04-05T00:00:00
106,106,106,106,596720,2019-03-28T00:00:00,2019-04-16T00:00:00
107,107,107,107,518566,2019-03-28T00:00:00,2019-04-08T00:00:00
108,108,108,108,607374,2019-03-28T00:00:00,2019-04-28T00:00:00
109,109,109,109,571561,2019-03-28T00:00:00,2019-10-31T00:00:00
110,110,110,110,448179,2019-03-28T00:00:00,2019-04-28T00:00:00
111,111,111,111,477132,2019-03-28T00:00:00,2019-04-15T00:00:00
112,112,112,112,660271,2019-03-28T00:00:00,2019-05-07T00:00:00
113,113,113,113,457708,2019-03-28T00:00:00,2019-06-17T00:00:00
114,114,114,114,641684,2019-03-28T00:00:00,2019-06-03T00:00:00
115,115,115,115,571760,2019-03-28T00:00:00,2019-05-26T00:00:00
116,116,116,116,592314,2019-03-28T00:00:00,2019-06-23T00:00:00
117,117,117,117,453943,2019-03-28T00:00:00,2019-04-22T00:00:00
118,118,118,118,476704,2019-03-28T00:00:00,2019-09-07T00:00:00
119,119,119,119,476454,2019-03-28T00:00:00,2019-09-15T00:00:00
120,120,120,120,453056,2019-03-28T00:00:00,2019-11-04T00:00:00
121,121,121,121,544369,2019-03-28T00:00:00,2019-06-07T00:00:00
122,122,122,122,543305,2019-03-28T00:00:00,2019-05-13T00:00:00
123,123,123,123,622072,2019-03-28T00:00:00,2019-07-28T00:00:00
124,124,124,124,519326,2019-03-30T00:00:00,2019-07-28T00:00:00
125,125,125,125,572122,2019-03-30T00:00:00,2019-05-25T00:00:00
126,126,126,126,643265,2019-03-31T00:00:00,2019-04-30T00:00:00
127,127,127,127,453385,2019-04-01T00:00:00,2019-05-23T00:00:00
128,128,128,128,519317,2019-04-01T00:00:00,2019-06-18T00:00:00
129,129,129,129,621563,2019-04-01T00:00:00,2019-04-21T00:00:00
130,130,130,130,502517,2019-04-01T00:00:00,2019-04-24T00:00:00
131,131,131,131,609280,2019-04-01T00:00:00,2019-05-04T00:00:00
132,132,132,132,459429,2019-04-02T00:00:00,2019-05-17T00:00:00
133,133,133,133,282332,2019-04-03T00:00:00,2019-04-13T00:00:00
134,134,134,134,607208,2019-04-03T00:00:00,2019-05-17T00:00:00
135,135,135,135,453064,2019-04-04T00:00:00,2019-07-25T00:00:00
136,136,136,136,572816,2019-04-04T00:00:00,2019-10-31T00:00:00
137,137,137,137,450172,2019-04-05T00:00:00,2019-09-01T00:00:00
138,138,138,138,605195,2019-04-05T00:00:00,2019-04-16T00:00:00
139,139,139,139,571875,2019-04-05T00:00:00,2019-06-26T00:00:00
140,140,140,140,598271,2019-04-06T00:00:00,2019-06-14T00:00:00
141,141,141,141,543557,2019-04-06T00:00:00,2019-05-08T00:00:00
142,142,142,142,641857,2019-04-06T00:00:00,2019-04-18T00:00:00
143,143,143,143,571788,2019-04-06T00:00:00,2019-05-27T00:00:00
144,144,144,144,488671,2019-04-07T00:00:00,2019-05-11T00:00:00
145,145,145,145,608597,2019-04-07T00:00:00,2019-07-23T00:00:00
146,146,146,146,435263,2019-04-07T00:00:00,2019-04-17T00:00:00
147,147,147,147,542881,2019-04-07T00:00:00,2019-05-04T00:00:00
148,148,148,148,519043,2019-04-07T00:00:00,2019-10-31T00:00:00
149,149,149,149,614173,2019-04-08T00:00:00,2019-11-04T00:00:00
150,150,150,150,571901,2019-04-08T00:00:00,2019-10-31T00:00:00
151,151,151,151,605182,2019-04-09T00:00:00,2019-06-17T00:00:00
152,152,152,152,501992,2019-04-09T00:00:00,2019-08-02T00:00:00
153,153,153,153,547943,2019-04-09T00:00:00,2019-04-20T00:00:00
154,154,154,154,607473,2019-04-09T00:00:00,2019-05-10T00:00:00
155,155,155,155,502171,2019-04-09T00:00:00,2019-04-20T00:00:00
156,156,156,156,621311,2019-04-09T00:00:00,2019-04-18T00:00:00
157,157,157,157,452657,2019-04-10T00:00:00,2019-04-25T00:00:00
158,158,158,158,431145,2019-04-10T00:00:00,2019-04-27T00:00:00
159,159,159,159,542947,2019-04-11T00:00:00,2019-05-16T00:00:00
160,160,160,160,621028,2019-04-11T00:00:00,2019-05-04T00:00:00
161,161,161,161,596142,2019-04-12T00:00:00,2019-04-24T00:00:00
162,162,162,162,605170,2019-04-12T00:00:00,2019-05-16T00:00:00
163,163,163,163,502522,2019-04-13T00:00:00,2019-04-26T00:00:00
164,164,164,164,596059,2019-04-13T00:00:00,2019-04-26T00:00:00
165,165,165,165,474568,2019-04-14T00:00:00,2019-04-30T00:00:00
166,166,166,166,453281,2019-04-14T00:00:00,2019-05-18T00:00:00
167,167,167,167,527055,2019-04-14T00:00:00,2019-10-31T00:00:00
168,168,168,168,502085,2019-04-15T00:00:00,2019-11-04T00:00:00
169,169,169,169,458924,2019-04-15T00:00:00,2019-05-10T00:00:00
170,170,170,170,572140,2019-04-15T00:00:00,2019-04-26T00:00:00
171,171,171,171,455104,2019-04-15T00:00:00,2019-05-03T00:00:00
172,172,172,172,642547,2019-04-16T00:00:00,2019-08-18T00:00:00
173,173,173,173,605483,2019-04-16T00:00:00,2019-04-24T00:00:00
174,174,174,174,592169,2019-04-16T00:00:00,2019-05-03T00:00:00
175,175,175,175,594577,2019-04-16T00:00:00,2019-07-23T00:00:00
176,176,176,176,571595,2019-04-16T00:00:00,2019-05-27T00:00:00
177,177,177,177,595885,2019-04-16T00:00:00,2019-11-04T00:00:00
178,178,178,178,641933,2019-04-16T00:00:00,2019-05-04T00:00:00
179,179,179,179,462136,2019-04-17T00:00:00,2019-08-20T00:00:00
180,180,180,180,664056,2019-04-17T00:00:00,2019-07-29T00:00:00
181,181,181,181,621514,2019-04-18T00:00:00,2019-05-09T00:00:00
182,182,182,182,546318,2019-04-18T00:00:00,2019-05-04T00:00:00
183,183,183,183,608337,2019-04-18T00:00:00,2019-05-02T00:00:00
184,184,184,184,456488,2019-04-19T00:00:00,2019-05-04T00:00:00
185,185,185,185,657117,2019-04-19T00:00:00,2019-11-04T00:00:00
186,186,186,186,456030,2019-04-19T00:00:00,2019-10-31T00:00:00
187,187,187,187,516416,2019-04-20T00:00:00,2019-04-27T00:00:00
188,188,188,188,516782,2019-04-20T00:00:00,2019-04-30T00:00:00
189,189,189,189,570481,2019-04-20T00:00:00,2019-08-02T00:00:00
190,190,190,190,664068,2019-04-20T00:00:00,2019-05-19T00:00:00
191,191,191,191,594798,2019-04-20T00:00:00,2019-04-26T00:00:00
192,192,192,192,543135,2019-04-20T00:00:00,2019-07-20T00:00:00
193,193,193,193,644364,2019-04-20T00:00:00,2019-11-04T00:00:00
194,194,194,194,607732,2019-04-21T00:00:00,2019-05-17T00:00:00
195,195,195,195,640457,2019-04-21T00:00:00,2019-05-10T00:00:00
196,196,196,196,533167,2019-04-21T00:00:00,2019-11-04T00:00:00
197,197,197,197,592450,2019-04-21T00:00:00,2019-06-21T00:00:00
198,198,198,198,607536,2019-04-22T00:00:00,2019-05-31T00:00:00
199,199,199,199,608379,2019-04-22T00:00:00,2019-04-29T00:00:00
200,200,200,200,458677,2019-04-22T00:00:00,2019-05-06T00:00:00
201,201,201,201,543278,2019-04-23T00:00:00,2019-08-09T00:00:00
202,202,202,202,592767,2019-04-23T00:00:00,2019-05-05T00:00:00
203,203,203,203,461314,2019-04-23T00:00:00,2019-05-04T00:00:00
204,204,204,204,595897,2019-04-23T00:00:00,2019-11-04T00:00:00
205,205,205,205,446359,2019-04-24T00:00:00,2019-05-07T00:00:00
206,206,206,206,621563,2019-04-25T00:00:00,2019-06-14T00:00:00
207,207,207,207,596451,2019-04-25T00:00:00,2019-06-17T00:00:00
208,208,208,208,640449,2019-04-25T00:00:00,2019-05-06T00:00:00
209,209,209,209,621368,2019-04-26T00:00:00,2019-11-04T00:00:00
210,210,210,210,519455,2019-04-26T00:00:00,2019-06-19T00:00:00
211,211,211,211,446263,2019-04-26T00:00:00,2019-06-13T00:00:00
212,212,212,212,592102,2019-04-26T00:00:00,2019-05-07T00:00:00
213,213,213,213,572096,2019-04-26T00:00:00,2019-06-08T00:00:00
214,214,214,214,592145,2019-04-27T00:00:00,2019-05-14T00:00:00
215,215,215,215,502042,2019-04-27T00:00:00,2019-05-15T00:00:00
216,216,216,216,650391,2019-04-28T00:00:00,2019-05-20T00:00:00
217,217,217,217,553902,2019-04-28T00:00:00,2019-06-08T00:00:00
218,218,218,218,621114,2019-04-28T00:00:00,2019-05-06T00:00:00
219,219,219,219,475582,2019-04-28T00:00:00,2019-06-28T00:00:00
220,220,220,220,657571,2019-04-28T00:00:00,2019-05-27T00:00:00
221,221,221,221,518858,2019-04-28T00:00:00,2019-11-01T00:00:00
222,222,222,222,502171,2019-04-28T00:00:00,2019-11-04T00:00:00
223,223,223,223,592192,2019-04-29T00:00:00,2019-05-13T00:00:00
224,224,224,224,658792,2019-04-29T00:00:00,2019-05-11T00:00:00
225,225,225,225,656977,2019-04-29T00:00:00,2019-05-25T00:00:00
226,226,226,226,502706,2019-04-29T00:00:00,2019-05-08T00:00:00
227,227,227,227,543281,2019-04-30T00:00:00,2019-05-13T00:00:00
228,228,228,228,572041,2019-04-30T00:00:00,2019-07-12T00:00:00
229,229,229,229,665487,2019-04-30T00:00:00,2019-06-06T00:00:00
230,230,230,230,543685,2019-04-30T00:00:00,2019-05-07T00:00:00
231,231,231,231,502624,2019-05-01T00:00:00,2019-05-18T00:00:00
232,232,232,232,544727,2019-05-01T00:00:00,2019-05-14T00:00:00
233,233,233,233,607074,2019-05-02T00:00:00,2019-10-31T00:00:00
234,234,234,234,606167,2019-05-02T00:00:00,2019-07-02T00:00:00
235,235,235,235,621056,2019-05-02T00:00:00,2019-06-07T00:00:00
236,236,236,236,456124,2019-05-03T00:00:00,2019-05-11T00:00:00
237,237,237,237,446372,2019-05-03T00:00:00,2019-11-04T00:00:00
238,238,238,238,624407,2019-05-04T00:00:00,2019-07-01T00:00:00
239,239,239,239,572020,2019-05-04T00:00:00,2019-05-29T00:00:00
240,240,240,240,643466,2019-05-04T00:00:00,2019-07-17T00:00:00
241,241,241,241,665742,2019-05-04T00:00:00,2019-05-11T00:00:00
242,242,242,242,501593,2019-05-04T00:00:00,2019-07-02T00:00:00
